"ModName2","ModType","Set","MetricCount","MetricResult","Metric","Stratified","Unstratified","Metric2","ModTypeName"
"Strat H2O","Rpart","Training",37,0.702702702702703,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","Rpart Strat H2O"
"Strat H2O","Rpart","Testing",17,0.882352941176471,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","Rpart Strat H2O"
"Strat H2O","Rpart","Training",72,0.847222222222222,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","Rpart Strat H2O"
"Strat H2O","RpartScore","Testing",5,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",25,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",9,0.888888888888889,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",33,0.818181818181818,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",17,0.941176470588235,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",72,0.888888888888889,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",17,1,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",72,0.875,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",17,1,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",72,0.861111111111111,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",1,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",24,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",17,0.764705882352941,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",72,0.763888888888889,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",8,0.625,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",37,0.756756756756757,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Testing",17,0.823529411764706,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RpartScore Strat H2O"
"Strat H2O","RpartScore","Training",72,0.875,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RpartScore Strat H2O"
"Strat H2O SC","RandomForest","Testing",6,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",23,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",10,0.7,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",31,0.709677419354839,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",21,0.857142857142857,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",66,0.863636363636364,"Accuracy (EvNE)",TRUE,FALSE,"Accuracy (EvNE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",21,0.80952380952381,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",66,0.848484848484849,"Accuracy (EvNE_SInm)",TRUE,FALSE,"Accuracy (EvNE_SInm)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",21,0.80952380952381,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",66,0.863636363636364,"Accuracy (EvNE_SIpnw)",TRUE,FALSE,"Accuracy (EvNE_SIpnw)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",5,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",19,1,"Accuracy (PnotE)",TRUE,FALSE,"Accuracy (PnotE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",21,0.619047619047619,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",66,0.606060606060606,"Accuracy (PvIvE)",TRUE,FALSE,"Accuracy (PvIvE)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",11,0.545454545454545,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",33,0.515151515151515,"Accuracy (PvIwet)",TRUE,FALSE,"Accuracy (PvIwet)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Testing",21,0.761904761904762,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RandomForest Strat H2O SC"
"Strat H2O SC","RandomForest","Training",66,0.742424242424242,"Accuracy (PvNP)",TRUE,FALSE,"Accuracy (PvNP)","RandomForest Strat H2O SC"
"Strat H2O SC","Rpart","Testing",6,1,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","Rpart Strat H2O SC"
"Strat H2O SC","Rpart","Training",23,0.869565217391304,"Accuracy (EnotP)",TRUE,FALSE,"Accuracy (EnotP)","Rpart Strat H2O SC"
"Strat H2O SC","Rpart","Testing",10,0.4,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","Rpart Strat H2O SC"
"Strat H2O SC","Rpart","Training",31,0.774193548387097,"Accuracy (EvIdry)",TRUE,FALSE,"Accuracy (EvIdry)","Rpart Strat H2O SC"
