FinalID,CommonName,CaliforniaTaxon,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicAuthority,FinalIDAuthority,Source
Agabus rumppi,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus rumppi,,,Leech,SAFIT,DFG-ABL
Agabus sasquatch,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus sasquatch,,,Larson,SAFIT,DFG-ABL
Agabus semipunctatus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus semipunctatus,,,(Kirby),SAFIT,DFG-ABL
Agabus semivittatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus semivittatus,,,LeConte,SAFIT,DFG-ABL
Agabus seriatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus seriatus,,,(Say),SAFIT,DFG-ABL
Agabus smithi,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus smithi,,,Brown,SAFIT,DFG-ABL
Agabus strigulosus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus strigulosus,,,(Crotch),SAFIT,DFG-ABL
Agabus tristis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus tristis,,,Aubé,SAFIT,DFG-ABL
Agabus vancouverensis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus vancouverensis,,,Leech,SAFIT,DFG-ABL
Agabus vandykei,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus vandykei,,,Leech,SAFIT,DFG-ABL
Agabus versimilis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus versimilis,,,Brown,SAFIT,DFG-ABL
Agabus walsinghami,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus walsinghami,,,(Crotch),SAFIT,DFG-ABL
Agapetus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,,,,Curtis,SAFIT,DFG-ABL
Agapetus arcita,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus arcita,,,Denning,SAFIT,DFG-ABL
Agapetus bifidus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus bifidus,,,Denning,SAFIT,DFG-ABL
Agapetus boulderensis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus boulderensis,,,Milne,SAFIT,DFG-ABL
Agapetus celatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus celatus,,,MacLachlan,SAFIT,DFG-ABL
Agapetus cornutus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus cornutus,,,Denning,SAFIT,DFG-ABL
Agapetus denningi,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus denningi,,,Ross,SAFIT,DFG-ABL
Agapetus joannia,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus joannia,,,Denning,SAFIT,DFG-ABL
Agapetus malleatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus malleatus,,,Banks,SAFIT,DFG-ABL
Agapetus marlo,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus marlo,,,Milne,SAFIT,DFG-ABL
Agapetus occidentis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus occidentis,,,Denning,SAFIT,DFG-ABL
Agapetus orosus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus orosus,,,Denning,SAFIT,DFG-ABL
Agapetus taho,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Trichoptera,,,Glossosomatidae,,,,Agapetus,,Agapetus taho,,,Ross,SAFIT,DFG-ABL
Agasicles,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Chrysomelidae,,,,Agasicles,,,,,,SAFIT,DFG-ABL
Agasicles hygrophila,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Chrysomelidae,,,,Agasicles,,Agasicles hygrophila,,,,SAFIT,DFG-ABL
Agathon,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Blephariceridae,,,,Agathon,,,,,Röder,SAFIT,DFG-ABL
Agathon arizonica,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Blephariceridae,Blepharicerinae,,,Agathon,Agathon aylmeri group,Agathon arizonica,,,(Alexander),SAFIT,DFG-ABL
Agathon aylmeri,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Blephariceridae,Blepharicerinae,,,Agathon,Agathon aylmeri group,Agathon aylmeri,,,(Garrett),SAFIT,DFG-ABL
Agathon aylmeri group,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Blephariceridae,Blepharicerinae,,,Agathon,Agathon aylmeri group,,,,,SAFIT,DFG-ABL
Agathon comstocki,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Diptera,,,Blephariceridae,,,,Agathon,,Agathon comstocki,,,(Kellogg),SAFIT,DFG-ABL
